ticker,sector,is_it,year,earn_date,entry_date,surprise_pct,v0_return_pct,v0_exit_reason,v0_holding_days,v0_return_dollar,D5K3_return_pct,D5K3_exit_reason,D5K3_holding_days,D5K3_return_dollar,D5K3_triggered,D5K4_return_pct,D5K4_exit_reason,D5K4_holding_days,D5K4_return_dollar,D5K4_triggered,D5K5_return_pct,D5K5_exit_reason,D5K5_holding_days,D5K5_return_dollar,D5K5_triggered,D7K3_return_pct,D7K3_exit_reason,D7K3_holding_days,D7K3_return_dollar,D7K3_triggered,D7K4_return_pct,D7K4_exit_reason,D7K4_holding_days,D7K4_return_dollar,D7K4_triggered,D7K5_return_pct,D7K5_exit_reason,D7K5_holding_days,D7K5_return_dollar,D7K5_triggered,D10K3_return_pct,D10K3_exit_reason,D10K3_holding_days,D10K3_return_dollar,D10K3_triggered,D10K4_return_pct,D10K4_exit_reason,D10K4_holding_days,D10K4_return_dollar,D10K4_triggered,D10K5_return_pct,D10K5_exit_reason,D10K5_holding_days,D10K5_return_dollar,D10K5_triggered
BLDR,Industrials,False,2023,2023-02-28,2023-03-02,39.19,10.099,time,42,1110.9,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False,10.099,time,42,1110.9,False
BLDR,Industrials,False,2023,2023-05-03,2023-05-05,90.26,6.181,trail_stop,18,679.95,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False,6.181,trail_stop,18,679.95,False
BLDR,Industrials,False,2024,2024-02-22,2024-02-26,37.67,7.349,time,42,808.35,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False,7.349,time,42,808.35,False
BG,Consumer Staples,False,2022,2022-02-09,2022-02-11,21.42,13.653,time,42,1501.81,-2.334,chronic_exit,11,-256.72,True,-1.792,chronic_exit,12,-197.11,True,13.653,time,42,1501.81,False,-2.334,chronic_exit,11,-256.72,True,-1.792,chronic_exit,12,-197.11,True,13.653,time,42,1501.81,False,13.653,time,42,1501.81,False,13.653,time,42,1501.81,False,13.653,time,42,1501.81,False
BG,Consumer Staples,False,2023,2023-08-02,2023-08-04,39.63,-1.598,time,42,-175.75,-2.419,chronic_exit,6,-266.1,True,-2.341,chronic_exit,7,-257.48,True,-1.775,chronic_exit,10,-195.27,True,-1.775,chronic_exit,10,-195.27,True,-1.775,chronic_exit,10,-195.27,True,-1.775,chronic_exit,10,-195.27,True,-2.771,chronic_exit,13,-304.78,True,-2.771,chronic_exit,13,-304.78,True,-2.771,chronic_exit,13,-304.78,True
BXP,Real Estate,False,2022,2022-05-02,2022-05-04,19.6,-8.785,hard_stop,6,-966.33,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False,-8.785,hard_stop,6,-966.33,False
CHRW,Industrials,False,2022,2022-07-27,2022-07-29,34.08,7.512,time,42,826.29,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False,7.512,time,42,826.29,False
CHRW,Industrials,False,2024,2024-07-31,2024-08-02,20.15,-0.856,time,42,-94.14,-2.935,chronic_exit,6,-322.8,True,-2.935,chronic_exit,6,-322.8,True,-2.935,chronic_exit,6,-322.8,True,-2.806,chronic_exit,10,-308.71,True,-2.806,chronic_exit,10,-308.71,True,-2.806,chronic_exit,10,-308.71,True,-3.653,chronic_exit,13,-401.87,True,-3.653,chronic_exit,13,-401.87,True,-3.653,chronic_exit,13,-401.87,True
CPB,Consumer Staples,False,2022,2022-12-07,2022-12-09,18.73,-8.097,hard_stop,42,-890.64,-0.158,chronic_exit,12,-17.37,True,-0.316,chronic_exit,13,-34.74,True,-0.856,chronic_exit,27,-94.16,True,-0.158,chronic_exit,12,-17.37,True,-0.316,chronic_exit,13,-34.74,True,-0.856,chronic_exit,27,-94.16,True,-0.316,chronic_exit,13,-34.74,True,-0.316,chronic_exit,13,-34.74,True,-0.856,chronic_exit,27,-94.16,True
COF,Financials,False,2024,2024-10-24,2024-10-28,19.97,13.128,time,42,1444.08,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False,13.128,time,42,1444.08,False
CAH,Health Care,False,2022,2022-11-04,2022-11-08,24.12,-0.699,time,42,-76.86,-6.152,chronic_exit,6,-676.69,True,-7.262,chronic_exit,7,-798.85,True,-6.189,chronic_exit,8,-680.81,True,-6.189,chronic_exit,8,-680.81,True,-6.189,chronic_exit,8,-680.81,True,-6.189,chronic_exit,8,-680.81,True,-3.02,chronic_exit,13,-332.17,True,-3.02,chronic_exit,13,-332.17,True,-3.02,chronic_exit,13,-332.17,True
CAH,Health Care,False,2023,2023-05-04,2023-05-08,16.77,9.414,time,43,1035.5,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False,9.414,time,43,1035.5,False
CAH,Health Care,False,2023,2023-11-03,2023-11-07,22.98,-0.59,time,42,-64.86,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False,-0.59,time,42,-64.86,False
CAH,Health Care,False,2025,2025-10-30,2025-11-03,17.6,5.751,trail_stop,36,632.64,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False,5.751,trail_stop,36,632.64,False
CVNA,Consumer Discretionary,False,2024,2024-05-01,2024-05-03,131.12,-8.431,hard_stop,21,-927.43,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False,-8.431,hard_stop,21,-927.43,False
CVNA,Consumer Discretionary,False,2024,2024-07-31,2024-08-02,424.08,5.579,trail_stop,32,613.72,-4.578,chronic_exit,6,-503.54,True,-4.578,chronic_exit,6,-503.54,True,-4.578,chronic_exit,6,-503.54,True,-4.528,chronic_exit,10,-498.03,True,-4.528,chronic_exit,10,-498.03,True,-4.528,chronic_exit,10,-498.03,True,5.579,trail_stop,32,613.72,False,5.579,trail_stop,32,613.72,False,5.579,trail_stop,32,613.72,False
CVNA,Consumer Discretionary,False,2024,2024-10-30,2024-11-01,269.09,-8.584,hard_stop,3,-944.28,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False,-8.584,hard_stop,3,-944.28,False
CASY,Consumer Staples,False,2022,2022-12-06,2022-12-08,17.29,-8.429,hard_stop,22,-927.14,-1.286,chronic_exit,7,-141.43,True,-2.0,chronic_exit,8,-220.0,True,-4.502,chronic_exit,11,-495.22,True,-2.0,chronic_exit,8,-220.0,True,-2.0,chronic_exit,8,-220.0,True,-4.502,chronic_exit,11,-495.22,True,-3.914,chronic_exit,13,-430.57,True,-3.914,chronic_exit,13,-430.57,True,-3.914,chronic_exit,13,-430.57,True
CASY,Consumer Staples,False,2023,2023-09-11,2023-09-13,34.6,0.261,time,42,28.71,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False,0.261,time,42,28.71,False
CASY,Consumer Staples,False,2024,2024-06-11,2024-06-13,36.25,-2.77,time,42,-304.7,-3.91,chronic_exit,7,-430.07,True,-3.91,chronic_exit,7,-430.07,True,-3.91,chronic_exit,7,-430.07,True,-0.673,chronic_exit,11,-74.02,True,-0.673,chronic_exit,11,-74.02,True,-0.673,chronic_exit,11,-74.02,True,-0.138,chronic_exit,14,-15.21,True,-0.138,chronic_exit,14,-15.21,True,-0.138,chronic_exit,14,-15.21,True
CASY,Consumer Staples,False,2025,2025-06-09,2025-06-11,36.06,6.723,time,42,739.55,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False,6.723,time,42,739.55,False
CASY,Consumer Staples,False,2025,2025-09-08,2025-09-10,15.35,-0.243,time,42,-26.77,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False,-0.243,time,42,-26.77,False
CAT,Industrials,False,2023,2023-08-01,2023-08-03,21.24,-1.044,time,42,-114.8,-0.354,chronic_exit,6,-38.91,True,-0.354,chronic_exit,6,-38.91,True,-0.354,chronic_exit,6,-38.91,True,-0.112,chronic_exit,8,-12.33,True,-0.112,chronic_exit,8,-12.33,True,-0.112,chronic_exit,8,-12.33,True,-3.863,chronic_exit,13,-424.91,True,-3.863,chronic_exit,13,-424.91,True,-3.863,chronic_exit,13,-424.91,True
CMG,Consumer Discretionary,False,2023,2023-04-25,2023-04-27,17.28,-0.132,time,42,-14.5,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False,-0.132,time,42,-14.5,False
CIEN,Information Technology,True,2024,2024-03-07,2024-03-11,38.76,-8.384,hard_stop,7,-922.27,-7.422,chronic_exit,4,-816.4,True,-7.422,chronic_exit,4,-816.4,True,-7.422,chronic_exit,4,-816.4,True,-8.384,hard_stop,7,-922.27,False,-8.384,hard_stop,7,-922.27,False,-8.384,hard_stop,7,-922.27,False,-8.384,hard_stop,7,-922.27,False,-8.384,hard_stop,7,-922.27,False,-8.384,hard_stop,7,-922.27,False
CIEN,Information Technology,True,2025,2025-09-04,2025-09-08,27.56,34.103,time,42,3751.33,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False,34.103,time,42,3751.33,False
CI,Health Care,False,2022,2022-05-06,2022-05-10,16.09,-3.336,time,42,-367.0,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False,-3.336,time,42,-367.0,False
C,Financials,False,2024,2024-10-15,2024-10-17,15.76,10.304,time,43,1133.47,-2.518,chronic_exit,6,-277.0,True,-2.518,chronic_exit,6,-277.0,True,-2.518,chronic_exit,6,-277.0,True,-4.588,chronic_exit,8,-504.71,True,-4.588,chronic_exit,8,-504.71,True,-4.588,chronic_exit,8,-504.71,True,-0.355,chronic_exit,13,-39.09,True,-0.355,chronic_exit,13,-39.09,True,-0.355,chronic_exit,13,-39.09,True
CLX,Consumer Staples,False,2023,2023-05-02,2023-05-04,23.37,-8.653,hard_stop,19,-951.83,-3.933,chronic_exit,6,-432.65,True,-3.933,chronic_exit,6,-432.65,True,-3.933,chronic_exit,6,-432.65,True,-3.591,chronic_exit,8,-395.03,True,-3.591,chronic_exit,8,-395.03,True,-3.591,chronic_exit,8,-395.03,True,-4.817,chronic_exit,13,-529.84,True,-4.817,chronic_exit,13,-529.84,True,-4.817,chronic_exit,13,-529.84,True
COHR,Information Technology,True,2024,2024-11-06,2024-11-08,20.52,-8.003,hard_stop,6,-880.32,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False,-8.003,hard_stop,6,-880.32,False
COIN,Financials,False,2024,2024-02-15,2024-02-20,420.0,-9.707,hard_stop,1,-1067.77,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False,-9.707,hard_stop,1,-1067.77,False
FIX,Industrials,False,2025,2025-07-24,2025-07-28,35.05,2.781,time,42,305.86,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False,2.781,time,42,305.86,False
FIX,Industrials,False,2025,2025-10-23,2025-10-27,31.26,-10.081,hard_stop,17,-1108.92,-2.112,chronic_exit,7,-232.28,True,-4.285,chronic_exit,8,-471.38,True,-1.099,chronic_exit,9,-120.93,True,-4.285,chronic_exit,8,-471.38,True,-4.285,chronic_exit,8,-471.38,True,-1.099,chronic_exit,9,-120.93,True,-4.355,chronic_exit,11,-479.09,True,-4.355,chronic_exit,11,-479.09,True,-4.355,chronic_exit,11,-479.09,True
CAG,Consumer Staples,False,2023,2023-01-05,2023-01-09,21.91,-8.506,hard_stop,14,-935.71,-2.444,chronic_exit,4,-268.88,True,-2.444,chronic_exit,4,-268.88,True,-2.444,chronic_exit,4,-268.88,True,-6.013,chronic_exit,9,-661.45,True,-6.013,chronic_exit,9,-661.45,True,-6.013,chronic_exit,9,-661.45,True,-8.506,hard_stop,14,-935.71,False,-8.506,hard_stop,14,-935.71,False,-8.506,hard_stop,14,-935.71,False
